,q_init_value,alpha_rate,epsilon_rate,gamma_rate,success_perc,traffic_violations_avg,explored_states_avg,reward_cum_avg,actions_avg
255,2.0,0.15,0.05,0.8,20.0,2.6,25.3,4.75,23.2
256,2.0,0.15,0.05,0.85,50.0,3.2,33.1,10.85,23.6
257,2.0,0.15,0.05,0.9,10.0,5.8,32.2,-0.55,29.1
258,2.0,0.15,0.05,0.95,20.0,3.6,24.8,-2.6,25.2
259,2.0,0.15,0.05,1.0,0.0,2.6,29.6,-2.1,33.5
260,2.0,0.15,0.1,0.8,20.0,4.4,30.6,0.1,25.0
261,2.0,0.15,0.1,0.85,60.0,3.5,29.5,9.7,22.7
262,2.0,0.15,0.1,0.9,20.0,4.9,30.4,-0.6,26.7
263,2.0,0.15,0.1,0.95,20.0,4.7,29.6,-3.55,25.3
264,2.0,0.15,0.1,1.0,20.0,3.8,29.6,0.65,26.2
265,2.0,0.15,0.15,0.8,60.0,4.8,28.0,0.1,17.8
266,2.0,0.15,0.15,0.85,0.0,5.6,31.6,1.95,34.0
267,2.0,0.15,0.15,0.9,80.0,7.7,24.5,2.5,19.7
268,2.0,0.15,0.15,0.95,30.0,7.8,24.5,-0.85,29.3
269,2.0,0.15,0.15,1.0,20.0,4.5,24.1,-1.4,24.2
270,2.0,0.15,0.2,0.8,30.0,6.3,27.6,0.5,24.8
271,2.0,0.15,0.2,0.85,10.0,7.6,32.0,-0.95,28.9
272,2.0,0.15,0.2,0.9,50.0,5.5,27.7,0.0,24.4
273,2.0,0.15,0.2,0.95,0.0,4.6,23.3,0.3,29.0
274,2.0,0.15,0.2,1.0,30.0,5.2,27.4,-3.25,24.6
275,2.0,0.2,0.0,0.8,40.0,2.9,27.9,5.4,25.1
276,2.0,0.2,0.0,0.85,90.0,6.9,19.9,4.5,14.9
277,2.0,0.2,0.0,0.9,30.0,4.6,30.5,1.2,28.5
278,2.0,0.2,0.0,0.95,10.0,1.8,25.5,20.35,25.4
279,2.0,0.2,0.0,1.0,0.0,1.7,24.7,-1.1,29.5
280,2.0,0.2,0.05,0.8,30.0,4.9,25.7,1.65,27.6
281,2.0,0.2,0.05,0.85,30.0,6.1,27.8,-1.5,30.8
282,2.0,0.2,0.05,0.9,50.0,7.6,33.1,-3.15,26.0
283,2.0,0.2,0.05,0.95,10.0,3.2,29.7,3.75,28.8
284,2.0,0.2,0.05,1.0,10.0,3.7,27.2,-1.05,31.4
285,2.0,0.2,0.1,0.8,40.0,5.7,26.4,-0.3,23.8
286,2.0,0.2,0.1,0.85,20.0,5.3,30.6,-0.8,28.8
287,2.0,0.2,0.1,0.9,0.0,4.5,27.5,5.6,28.5
288,2.0,0.2,0.1,0.95,50.0,4.3,28.7,2.8,27.7
289,2.0,0.2,0.1,1.0,10.0,1.9,28.1,7.55,31.6
290,2.0,0.2,0.15,0.8,20.0,7.0,25.0,0.8,26.9
291,2.0,0.2,0.15,0.85,0.0,5.6,25.9,2.7,32.5
292,2.0,0.2,0.15,0.9,30.0,3.1,30.1,3.8,27.9
293,2.0,0.2,0.15,0.95,40.0,6.0,29.9,6.15,29.1
294,2.0,0.2,0.15,1.0,50.0,5.3,22.9,2.0,22.7
295,2.0,0.2,0.2,0.8,80.0,4.8,30.5,3.4,19.4
296,2.0,0.2,0.2,0.85,60.0,5.2,28.7,-3.45,24.7
297,2.0,0.2,0.2,0.9,0.0,5.0,28.3,-3.3,29.5
298,2.0,0.2,0.2,0.95,50.0,5.7,30.2,4.2,22.9
299,2.0,0.2,0.2,1.0,10.0,4.0,28.6,0.7,29.2
300,2.0,0.25,0.0,0.8,20.0,5.0,27.0,-1.4,28.0
301,2.0,0.25,0.0,0.85,10.0,3.8,30.8,3.1,28.0
302,2.0,0.25,0.0,0.9,30.0,4.2,30.1,3.35,25.1
303,2.0,0.25,0.0,0.95,40.0,7.1,24.4,2.05,23.3
304,2.0,0.25,0.0,1.0,0.0,0.9,21.5,-1.3,29.0
305,2.0,0.25,0.05,0.8,30.0,4.0,25.7,5.4,24.7
306,2.0,0.25,0.05,0.85,20.0,3.6,28.1,0.65,27.0
307,2.0,0.25,0.05,0.9,60.0,1.9,24.6,7.85,18.7
308,2.0,0.25,0.05,0.95,10.0,3.4,30.3,5.55,35.2
309,2.0,0.25,0.05,1.0,30.0,5.1,31.2,-0.6,16.4
310,2.0,0.25,0.1,0.8,40.0,3.2,29.9,7.25,23.1
311,2.0,0.25,0.1,0.85,50.0,3.9,27.9,4.45,19.4
312,2.0,0.25,0.1,0.9,20.0,4.5,27.0,-1.75,32.0
313,2.0,0.25,0.1,0.95,20.0,3.8,20.6,-2.1,24.4
314,2.0,0.25,0.1,1.0,20.0,4.1,26.8,2.1,25.6
315,2.0,0.25,0.15,0.8,30.0,5.1,27.5,-1.6,21.6
316,2.0,0.25,0.15,0.85,10.0,6.2,27.6,-2.05,24.8
317,2.0,0.25,0.15,0.9,10.0,3.1,32.4,8.55,33.1
318,2.0,0.25,0.15,0.95,10.0,6.8,34.2,-3.9,32.6
319,2.0,0.25,0.15,1.0,40.0,2.2,27.9,-3.2,19.9
320,2.0,0.25,0.2,0.8,10.0,5.4,29.2,-3.6,22.9
321,2.0,0.25,0.2,0.85,20.0,5.3,34.3,-3.2,29.1
322,2.0,0.25,0.2,0.9,10.0,9.3,28.3,-2.2,29.2
323,2.0,0.25,0.2,0.95,10.0,5.4,29.0,-0.15,30.2
324,2.0,0.25,0.2,1.0,20.0,8.6,26.8,-2.4,22.9
325,2.0,0.3,0.0,0.8,50.0,7.8,28.8,3.4,23.3
326,2.0,0.3,0.0,0.85,70.0,5.2,29.0,5.8,20.2
327,2.0,0.3,0.0,0.9,0.0,1.9,23.0,10.45,28.5
328,2.0,0.3,0.0,0.95,20.0,0.5,17.3,14.15,23.9
329,2.0,0.3,0.0,1.0,10.0,0.8,17.3,1.7,28.9
330,2.0,0.3,0.05,0.8,10.0,4.5,31.3,0.6,26.1
331,2.0,0.3,0.05,0.85,10.0,5.6,27.1,3.7,33.6
332,2.0,0.3,0.05,0.9,10.0,2.4,26.6,7.8,31.9
